,schedule_season,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium
2934,2011,CHI,31,20,LAC,CHI,-4.5,45.5,Soldier Field
2935,2011,CLE,14,10,JAX,CLE,-1.5,34.5,FirstEnergy Stadium
2936,2011,DET,49,35,CAR,DET,-7.0,47.5,Ford Field
2937,2011,GB,35,26,TB,GB,-13.5,49.0,Lambeau Field
2938,2011,MIA,35,8,BUF,MIA,-3.0,44.0,Hard Rock Stadium
2939,2011,MIN,21,27,LVR,MIN,-2.0,46.5,Mall of America Field
2940,2011,NYG,10,17,PHI,NYG,-6.0,45.5,MetLife Stadium
2941,2011,SF,23,7,ARI,SF,-10.0,40.5,Candlestick Park
2942,2011,LAR,7,24,SEA,LAR,-3.0,40.0,Edward Jones Dome
2943,2011,WAS,24,27,DAL,DAL,-7.0,43.0,FedEx Field
2944,2011,NE,34,3,KC,NE,-17.0,47.0,Gillette Stadium
2945,2011,BAL,16,6,SF,BAL,-3.5,40.5,M&T Bank Stadium
2946,2011,DAL,20,19,MIA,DAL,-7.0,46.0,AT&T Stadium
2947,2011,DET,15,27,GB,GB,-4.5,55.0,Ford Field
2948,2011,ATL,24,14,MIN,ATL,-10.0,44.0,Georgia Dome
2949,2011,CIN,23,20,CLE,CIN,-7.0,38.0,Paul Brown Stadium
2950,2011,IND,19,27,CAR,CAR,-3.5,46.5,Lucas Oil Stadium
2951,2011,JAX,13,20,HOU,HOU,-6.5,37.0,TIAA Bank Field
2952,2011,KC,9,13,PIT,PIT,-10.5,40.5,Arrowhead Stadium
2953,2011,NYJ,28,24,BUF,NYJ,-9.5,42.5,MetLife Stadium
2954,2011,LVR,25,20,CHI,LVR,-3.0,41.0,Oakland Coliseum
2955,2011,PHI,20,38,NE,NE,-3.5,50.5,Lincoln Financial Field
2956,2011,LAC,13,16,DEN,LAC,-5.5,42.0,Qualcomm Stadium
2957,2011,SEA,17,23,WAS,SEA,-3.0,37.5,CenturyLink Field
2958,2011,LAR,20,23,ARI,LAR,-2.5,40.0,Edward Jones Dome
2959,2011,TEN,23,17,TB,TEN,-3.0,44.0,Nissan Stadium
2960,2011,NO,49,24,NYG,NO,-7.0,51.0,Mercedes-Benz Superdome
2961,2011,SEA,31,14,PHI,PHI,-3.0,43.5,CenturyLink Field
2962,2011,ARI,19,13,DAL,DAL,-4.5,46.5,University of Phoenix Stadium
2963,2011,BUF,17,23,TEN,BUF,-1.0,44.0,New Era Field
2964,2011,CHI,3,10,KC,CHI,-9.0,35.0,Soldier Field
2965,2011,CLE,10,24,BAL,BAL,-7.0,38.5,FirstEnergy Stadium
2966,2011,HOU,17,10,ATL,ATL,-2.0,38.0,NRG Stadium
2967,2011,MIA,34,14,LVR,MIA,-3.0,43.0,Hard Rock Stadium
2968,2011,MIN,32,35,DEN,MIN,-1.5,37.5,Mall of America Field
2969,2011,NE,31,24,IND,NE,-20.5,48.5,Gillette Stadium
2970,2011,NO,31,17,DET,NO,-9.0,54.5,Mercedes-Benz Superdome
2971,2011,NYG,35,38,GB,GB,-7.0,54.0,MetLife Stadium
2972,2011,PIT,35,7,CIN,PIT,-7.0,43.0,Heinz Field
2973,2011,SF,26,0,LAR,SF,-14.5,38.5,Candlestick Park
2974,2011,TB,19,38,CAR,CAR,-2.5,46.5,Raymond James Stadium
2975,2011,WAS,19,34,NYJ,NYJ,-3.0,38.5,FedEx Field
2976,2011,JAX,14,38,LAC,LAC,-3.0,39.5,TIAA Bank Field
2977,2011,PIT,14,3,CLE,PIT,-14.0,40.0,Heinz Field
